year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2013,1956.9186,1,1,2,1,5,1,6,3,4,1,3,2,2,0,1,4,2,0,0,2,3
2013,1683.1124,2,1,1,4,5,5,3,1,4,2,1,2,2,0,1,4,2,0,0,2,1
2013,2284.16395,2,2,2,2,8,2,88,2,4,1,3,1,2,0,1,4,2,0,0,2,3
2013,3139.10583,1,1,1,4,6,2,6,0,4,2,5,1,2,0,1,4,2,0,0,2,1
2013,1792.34309,1,1,1,4,6,2,4,3,4,1,4,1,1,3,1,3,1,0,0,2,3
2013,3346.29074,1,1,2,1,7,2,88,0,1,2,4,1,2,0,1,4,2,1,2,2,5
2013,4050.05473,1,1,2,1,1,1,88,1,4,1,5,2,1,2,1,3,1,0,0,2,3
2013,1675.17138,1,2,2,2,6,1,88,2,3,1,4,1,1,1,1,2,1,0,0,2,1
2013,2983.13172,2,1,2,1,7,4,88,1,4,3,4,1,2,0,1,4,2,0,0,2,3
2013,3336.49924,2,1,2,1,5,3,2,1,4,3,3,2,2,0,1,4,2,0,0,2,2
2013,3411.40339,2,1,1,4,6,4,5,3,4,1,4,1,1,1,1,2,1,0,0,2,3
2013,4614.10768,2,2,2,2,4,1,2,2,3,1,1,2,2,0,1,4,2,1,1,2,3
2013,3404.83908,1,1,2,1,7,4,3,1,2,2,2,2,2,0,1,4,2,0,0,2,1
